bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
50	2	536	1994	1994	1993	10	37	0	48	sg	me	1										
50	2	537	1994	1994	1993	25	44	12	122	sg	me	1										
50	2	538	1994	1994	1993	24	45	12	112	sg	me	1										
50	2	539	1994	1994	1993	24	38	6	163	sg	me	2										
50	2	541	1994	1994	1993	3	7	0	0	sg	ve	1										
50	2	542	1994	1994	1993	22	47	0	65	sg	me	1										
50	2	543	1994	1994	1993	21	50	0	435	sg	me	1										
50	2	544	1994	1994	1993	5	22	0	23	sg	sm	1										
50	2	545	1994	1994	1993	20	46	5	190	sg	me	1										
50	2	546	1994	1994	1993	16	51	4	315	sg	la	2										
50	2	547	1994	1994	1993	5	26	0	8	sg	sm	1										
50	2	548	1994	1994	1993	2	29	0	29	sg	sm	1										
50	2	549	1994	1994	1993	5	35	0	58	sg	me	1										
50	2	550	1994	1994	1993	18	47	0	250	sg	me	1										
50	2	551	1994	1994	1993	9	37	0	149	sg	me	1										
50	2	552	1994	1994	1993	3	11	0	0	sg	ve	1										
50	2	553	1994	1994	1993	2	18	0	0	sg	ve	2										
50	2	555	1994	1994	1993	17	45	0	222	sg	me	1										
50	2	556	1994	1994	1993	7	37	0	136	sg	me	1										
50	2	557	1994	1994	1993	12	21	0	6	sg	sm	4										
50	2	558	1994	1994	1993	19	45	2	436	sg	me	1										
50	2	559	1994	1994	1993	24	44	7	285	sg	me	1										
50	2	560	1994	1994	1993	22	42	7	314	sg	me	1										
50	2	561	1994	1994	1993	30	52	51	682	sg	la	1										
50	2	562	1994	1994	1993	26	46	22	257	sg	me	1										
50	2	563	1994	1994	1993	20	36	2	140	sg	me	1										
50	2	564	1994	1994	1993	19	31	5	111	sg	sm	1										
50	2	565	1994	1994	1993	26	47	21	532	sg	me	1										
50	2	566	1994	1994	1993	3	34	0	48	sg	me	1										
50	2	567	1994	1994	1993	1	30	0	32	sg	sm	1										
50	2	569	1994	1994	1993	2	24	0	7	sg	sm	1										
50	2	570	1994	1994	1993	5	40	0	233	sg	me	3										
50	2	571	1994	1994	1993	24	46	12	415	sg	me	1										
50	2	572	1994	1994	1993	28	42	16	449	sg	me	1										
50	2	5522	1994	1994	1993	15	NA	0	NA	sg	rip	1										
50	2	5533	1994	1994	1993	2	NA	0	NA	sg	rip	2										
50	2	5540	1994	1994	1993	14	NA	4	NA	sg	rip	1										
50	2	5554	1994	1994	1993	9	NA	0	NA	sg	rip	1										
50	2	5568	1994	1994	1993	2	NA	0	NA	sg	rip	1										
57	1	402	1994	1994	1993	24	52	64	2751	sg	la	3										
57	1	403	1994	1994	1993	24	58	88	4218	sg	la	1										
57	1	404	1994	1994	1993	22	47	47	961	sg	me	1										
57	1	405	1994	1994	1993	20	43	19	28	sg	me	1										
57	1	406	1994	1994	1993	32	55	39	2051	sg	la	1										
57	1	407	1994	1994	1993	20	51	0	481	sg	la	1										
57	1	409	1994	1994	1993	23	42	10	459	sg	me	2										
57	1	411	1994	1994	1993	18	34	0	194	sg	me	1										
57	1	461	1994	1994	1993	24	51	0	677	sg	la	1										
57	1	5401	1994	1994	1993	13	NA	0	NA	sg	rip	1										
57	1	5408	1994	1994	1993	9	NA	0	NA	sg	rip	1										
